stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,level_id,platform_code,asw_node_id,asw_stop_id,zone_region_type
U864Z1P,"Vozovna Kobylisy",50.132809,14.453547,"P",,0,,1,,A,864,1,1
U864Z2P,"Vozovna Kobylisy",50.132740,14.454076,"P",,0,,1,,B,864,2,1
U864Z3P,"Vozovna Kobylisy",50.132793,14.453643,"P",,0,,1,,C,864,3,1
U864Z4P,"Vozovna Kobylisy",50.132336,14.453592,"P",,0,,2,,D,864,4,1
U864Z5P,"Vozovna Kobylisy",50.131943,14.453632,"P",,0,,2,,E,864,5,1
U864Z5,"Vozovna Kobylisy",50.131943,14.453632,"B",,0,,2,,E,864,5,1
U864Z6P,"Vozovna Kobylisy",50.133560,14.454821,"P",,0,,0,,F,864,6,1
U864Z7P,"Vozovna Kobylisy",50.133209,14.454932,"P",,0,,0,,G,864,7,1
U864Z9P,"Vozovna Kobylisy",50.133083,14.452950,"P",,0,,0,,I,864,9,1
U864Z9,"Vozovna Kobylisy",50.133083,14.452950,"B",,0,,0,,I,864,9,1
U864Z11P,"Vozovna Kobylisy",50.133251,14.453260,"P",,0,,0,,K,864,11,1
U864Z11,"Vozovna Kobylisy",50.133251,14.453260,"B",,0,,0,,K,864,11,1
U675Z1P,"Kobylisy",50.124683,14.456311,"P",,0,,1,,A,675,1,1
U675Z2P,"Kobylisy",50.124943,14.456691,"P",,0,,1,,B,675,2,1
U675Z3P,"Kobylisy",50.124855,14.455379,"P",,0,,0,,G,675,3,1
U675Z4P,"Kobylisy",50.124638,14.454753,"P",,0,,0,,F,675,4,1
U675Z5,"Kobylisy",50.124264,14.453700,"B",,0,,0,,I,675,5,1
U675Z6,"Kobylisy",50.123856,14.453411,"B",,0,,0,,K,675,6,1
U675Z7P,"Kobylisy",50.124733,14.455860,"P",,0,,0,,D,675,7,1
U675Z8P,"Kobylisy",50.124878,14.456267,"P",,0,,0,,C,675,8,1
U675Z9P,"Kobylisy",50.124840,14.451943,"P",,0,,0,,L,675,9,1
U675Z10P,"Kobylisy",50.123062,14.452890,"P",,0,,0,,N,675,10,1
U675Z11P,"Kobylisy",50.123241,14.453181,"P",,0,,0,,O,675,11,1
U675Z11,"Kobylisy",50.123241,14.453181,"B",,0,,0,,O,675,11,1
U675Z12,"Kobylisy",50.124374,14.454075,"B",,0,,0,,J,675,12,1
U675Z52P,"Kobylisy",50.124863,14.456678,"P",,0,,0,,52,675,52,1
U675Z101P,"Kobylisy",50.124080,14.454280,"P",,0,U675S1,1,U675L2,1,675,101,1
U675Z102P,"Kobylisy",50.124160,14.454230,"P",,0,U675S1,1,U675L2,2,675,102,1
U1011Z1P,"Mirovická",50.131435,14.452784,"P",,0,,0,,A,1011,1,1
U1011Z2P,"Mirovická",50.130333,14.452084,"P",,0,,0,,B,1011,2,1
U655Z1P,"Invalidovna",50.097874,14.465092,"P",,0,,1,,A,655,1,1
U655Z2P,"Invalidovna",50.098099,14.465915,"P",,0,,1,,B,655,2,1
U655Z101P,"Invalidovna",50.097014,14.463438,"P",,0,U655S1,2,U655L1,1,655,101,1
U655Z102P,"Invalidovna",50.096899,14.463568,"P",,0,U655S1,2,U655L1,2,655,102,1
U471Z1P,"Libeňský zámek",50.108311,14.472200,"P",,0,,1,,A,471,1,1
U471Z2P,"Libeňský zámek",50.108589,14.472365,"P",,0,,1,,B,471,2,1
U115Z301,"Praha-Holešovice",50.110531,14.439771,"0",,0,,1,,,115,301,1
U115Z305,"Praha-Holešovice zast.",50.106106,14.437323,"0",,0,,2,,,115,305,1
U115Z1P,"Nádraží Holešovice",50.109669,14.437530,"P",,0,,1,,G,115,1,1
U115Z2P,"Nádraží Holešovice",50.110294,14.437341,"P",,0,,1,,H,115,2,1
